
Seconds, L4
0.000000,6.628883,
0.006667,0.828610,
0.013333,4.143052,
0.020000,2.485831,
0.026667,3.314442,
0.033333,4.971663,
0.040000,2.485831,
0.046667,4.971663,
0.053333,4.143052,
0.060000,0.000000,
0.066667,10.771936,
0.073333,3.314442,
0.080000,3.314442,
0.086667,0.000000,
0.093333,1.657221,
0.100000,0.000000,
0.106667,0.828610,
0.113333,2.485831,
0.120000,0.000000,
0.126667,0.000000,
0.133333,4.971663,
0.140000,0.000000,
0.146667,0.000000,
0.153333,3.314442,
0.160000,0.828610,
0.166667,4.971663,
0.173333,1.657221,
0.180000,2.485831,
0.186667,0.828610,
0.193333,1.657221,
0.200000,5.800273,
0.206667,0.828610,
0.213333,1.657221,
0.220000,0.000000,
0.226667,0.828610,
0.233333,7.457494,
0.240000,2.485831,
0.246667,3.314442,
0.253333,0.000000,
0.260000,0.000000,
0.266667,3.314442,
0.273333,1.657221,
0.280000,2.485831,
0.286667,3.314442,
0.293333,2.485831,
0.300000,1.657221,
0.306667,0.000000,
0.313333,1.657221,
0.320000,2.485831,
0.326667,1.657221,
0.333333,3.314442,
0.340000,1.657221,
0.346667,2.485831,
0.353333,0.828610,
0.360000,0.000000,
0.366667,2.485831,
0.373333,0.828610,
0.380000,3.314442,
0.386667,0.828610,
0.393333,0.828610,
0.400000,9.114715,
0.406667,1.657221,
0.413333,4.143052,
0.420000,0.000000,
0.426667,0.828610,
0.433333,5.800273,
0.440000,3.314442,
0.446667,3.314442,
0.453333,3.314442,
0.460000,4.143052,
0.466667,3.314442,
0.473333,1.657221,
0.480000,4.143052,
0.486667,3.314442,
0.493333,0.000000,
0.500000,1.657221,
0.506667,3.314442,
0.513333,4.143052,
0.520000,3.314442,
0.526667,0.828610,
0.533333,6.628883,
0.540000,1.657221,
0.546667,6.628883,
0.553333,4.971663,
0.560000,6.628883,
0.566667,6.628883,
0.573333,4.143052,
0.580000,4.143052,
0.586667,4.971663,
0.593333,8.286104,
0.600000,8.286104,
0.606667,2.485831,
0.613333,4.971663,
0.620000,4.971663,
0.626667,7.457494,
0.633333,6.628883,
0.640000,2.485831,
0.646667,4.143052,
0.653333,3.314442,
0.660000,5.800273,
0.666667,3.314442,
0.673333,4.143052,
0.680000,4.143052,
0.686667,4.143052,
0.693333,1.657221,
0.700000,0.000000,
0.706667,1.657221,
0.713333,3.314442,
0.720000,4.971663,
0.726667,4.143052,
0.733333,4.143052,
0.740000,1.657221,
0.746667,4.971663,
0.753333,0.828610,
0.760000,1.657221,
0.766667,4.971663,
0.773333,0.828610,
0.780000,4.143052,
0.786667,3.314442,
0.793333,6.628883,
0.800000,6.628883,
0.806667,0.000000,
0.813333,4.143052,
0.820000,4.143052,
0.826667,4.971663,
0.833333,3.314442,
0.840000,1.657221,
0.846667,4.971663,
0.853333,4.971663,
0.860000,0.828610,
0.866667,3.314442,
0.873333,1.657221,
0.880000,4.971663,
0.886667,3.314442,
0.893333,0.828610,
0.900000,4.971663,
0.906667,2.485831,
0.913333,4.143052,
0.920000,4.143052,
0.926667,0.000000,
0.933333,6.628883,
0.940000,4.143052,
0.946667,4.971663,
0.953333,4.971663,
0.960000,5.800273,
0.966667,6.628883,
0.973333,0.828610,
0.980000,4.143052,
0.986667,1.657221,
