
Seconds, L7
0.000000,7.800238,
0.006667,8.450258,
0.013333,7.800238,
0.020000,7.800238,
0.026667,7.800238,
0.033333,8.450258,
0.040000,9.100277,
0.046667,9.100277,
0.053333,9.100277,
0.060000,9.100277,
0.066667,10.400317,
0.073333,9.750297,
0.080000,9.750297,
0.086667,10.400317,
0.093333,9.750297,
0.100000,9.750297,
0.106667,9.750297,
0.113333,10.400317,
0.120000,10.400317,
0.126667,9.750297,
0.133333,9.750297,
0.140000,9.750297,
0.146667,9.750297,
0.153333,10.400317,
0.160000,10.400317,
0.166667,9.750297,
0.173333,9.750297,
0.180000,10.400317,
0.186667,9.750297,
0.193333,10.400317,
0.200000,10.400317,
0.206667,10.400317,
0.213333,9.750297,
0.220000,10.400317,
0.226667,11.050337,
0.233333,9.750297,
0.240000,10.400317,
0.246667,11.050337,
0.253333,10.400317,
0.260000,11.050337,
0.266667,11.700357,
0.273333,11.050337,
0.280000,11.050337,
0.286667,11.050337,
0.293333,11.050337,
0.300000,11.050337,
0.306667,11.050337,
0.313333,10.400317,
0.320000,10.400317,
0.326667,9.750297,
0.333333,9.750297,
0.340000,9.750297,
0.346667,9.100277,
0.353333,9.750297,
0.360000,9.750297,
0.366667,9.100277,
0.373333,9.100277,
0.380000,9.100277,
0.386667,9.100277,
0.393333,9.100277,
0.400000,9.100277,
0.406667,9.100277,
0.413333,9.100277,
0.420000,8.450258,
0.426667,9.100277,
0.433333,9.750297,
0.440000,9.750297,
0.446667,9.750297,
0.453333,9.100277,
0.460000,9.100277,
0.466667,9.750297,
0.473333,8.450258,
0.480000,9.100277,
0.486667,9.100277,
0.493333,8.450258,
0.500000,9.100277,
0.506667,9.100277,
0.513333,8.450258,
0.520000,8.450258,
0.526667,9.100277,
0.533333,8.450258,
0.540000,8.450258,
0.546667,8.450258,
0.553333,7.800238,
0.560000,9.100277,
0.566667,9.100277,
0.573333,9.100277,
0.580000,8.450258,
0.586667,9.100277,
0.593333,8.450258,
0.600000,9.750297,
0.606667,9.750297,
0.613333,9.100277,
0.620000,9.100277,
0.626667,9.100277,
0.633333,9.100277,
0.640000,8.450258,
0.646667,9.100277,
0.653333,9.100277,
0.660000,8.450258,
0.666667,9.750297,
0.673333,9.100277,
0.680000,8.450258,
0.686667,8.450258,
0.693333,8.450258,
0.700000,8.450258,
0.706667,7.800238,
0.713333,7.150218,
0.720000,7.800238,
0.726667,6.500198,
0.733333,7.800238,
0.740000,6.500198,
0.746667,7.150218,
0.753333,7.150218,
0.760000,6.500198,
0.766667,7.150218,
0.773333,7.150218,
0.780000,7.150218,
0.786667,7.150218,
0.793333,6.500198,
0.800000,5.850178,
0.806667,5.850178,
0.813333,5.850178,
0.820000,5.850178,
0.826667,7.150218,
0.833333,7.150218,
0.840000,5.850178,
0.846667,7.150218,
0.853333,5.200159,
0.860000,4.550139,
0.866667,3.900119,
0.873333,3.900119,
0.880000,3.900119,
0.886667,3.250099,
0.893333,1.300040,
0.900000,1.950059,
0.906667,2.600079,
0.913333,2.600079,
0.920000,1.950059,
0.926667,0.650020,
0.933333,1.950059,
0.940000,1.950059,
0.946667,1.950059,
0.953333,0.650020,
0.960000,1.950059,
0.966667,1.300040,
0.973333,0.650020,
0.980000,1.300040,
0.986667,1.300040,
0.993333,0.650020,
1.000000,0.000000,
1.006667,0.000000,
1.013333,0.650020,
1.020000,0.650020,
1.026667,0.000000,
1.033333,0.650020,
1.040000,0.650020,
1.046667,0.650020,
1.053333,0.650020,
1.060000,0.650020,
1.066667,0.650020,
1.073333,0.650020,
1.080000,0.650020,
1.086667,0.650020,
1.093333,0.650020,
1.100000,0.650020,
1.106667,1.300040,
1.113333,0.650020,
1.120000,0.650020,
1.126667,0.650020,
1.133333,1.300040,
1.140000,0.650020,
1.146667,0.650020,
1.153333,1.950059,
1.160000,1.950059,
1.166667,1.950059,
1.173333,1.950059,
1.180000,1.950059,
1.186667,1.950059,
1.193333,1.950059,
1.200000,2.600079,
1.206667,4.550139,
1.213333,3.900119,
1.220000,4.550139,
1.226667,4.550139,
1.233333,4.550139,
1.240000,4.550139,
1.246667,5.850178,
1.253333,7.800238,
1.260000,8.450258,
1.266667,8.450258,
1.273333,7.800238,
1.280000,7.800238,
1.286667,7.800238,
1.293333,7.800238,
1.300000,8.450258,
1.306667,7.800238,
1.313333,9.100277,
1.320000,9.100277,
1.326667,9.100277,
1.333333,9.100277,
1.340000,9.750297,
1.346667,10.400317,
1.353333,10.400317,
1.360000,9.750297,
1.366667,9.750297,
1.373333,9.750297,
1.380000,10.400317,
1.386667,11.050337,
1.393333,9.750297,
1.400000,9.100277,
1.406667,9.100277,
1.413333,9.750297,
1.420000,11.050337,
1.426667,9.750297,
1.433333,9.100277,
1.440000,8.450258,
1.446667,8.450258,
1.453333,8.450258,
1.460000,9.100277,
1.466667,9.100277,
1.473333,8.450258,
1.480000,8.450258,
1.486667,9.750297,
1.493333,9.100277,
1.500000,9.750297,
1.506667,9.750297,
1.513333,9.750297,
1.520000,9.100277,
1.526667,9.100277,
1.533333,9.750297,
1.540000,9.750297,
1.546667,9.750297,
1.553333,10.400317,
1.560000,9.750297,
1.566667,9.750297,
1.573333,10.400317,
1.580000,10.400317,
1.586667,9.750297,
1.593333,10.400317,
1.600000,10.400317,
1.606667,10.400317,
1.613333,9.750297,
1.620000,10.400317,
1.626667,10.400317,
1.633333,9.750297,
1.640000,10.400317,
1.646667,10.400317,
1.653333,10.400317,
1.660000,9.750297,
1.666667,10.400317,
1.673333,10.400317,
1.680000,10.400317,
1.686667,10.400317,
1.693333,10.400317,
1.700000,10.400317,
1.706667,10.400317,
1.713333,10.400317,
1.720000,10.400317,
1.726667,9.750297,
1.733333,9.750297,
1.740000,10.400317,
1.746667,9.750297,
1.753333,10.400317,
1.760000,10.400317,
1.766667,10.400317,
1.773333,10.400317,
1.780000,10.400317,
1.786667,10.400317,
1.793333,10.400317,
1.800000,9.750297,
1.806667,9.750297,
1.813333,10.400317,
1.820000,9.750297,
1.826667,10.400317,
1.833333,11.050337,
1.840000,11.050337,
1.846667,9.750297,
1.853333,10.400317,
1.860000,9.750297,
1.866667,9.750297,
1.873333,10.400317,
1.880000,10.400317,
1.886667,9.750297,
1.893333,10.400317,
1.900000,9.100277,
1.906667,9.100277,
1.913333,8.450258,
1.920000,8.450258,
1.926667,8.450258,
1.933333,9.750297,
1.940000,9.100277,
1.946667,8.450258,
1.953333,7.800238,
1.960000,8.450258,
1.966667,7.800238,
1.973333,9.750297,
1.980000,10.400317,
1.986667,10.400317,
1.993333,9.750297,
2.000000,7.800238,
2.006667,9.100277,
2.013333,8.450258,
2.020000,9.750297,
2.026667,9.750297,
2.033333,9.750297,
2.040000,9.750297,
2.046667,9.750297,
2.053333,10.400317,
2.060000,11.700357,
2.066667,10.400317,
2.073333,11.700357,
2.080000,11.700357,
2.086667,10.400317,
2.093333,9.750297,
2.100000,11.050337,
2.106667,11.050337,
2.113333,10.400317,
2.120000,11.050337,
2.126667,10.400317,
2.133333,11.700357,
2.140000,11.050337,
2.146667,11.050337,
2.153333,11.700357,
2.160000,11.050337,
2.166667,13.000396,
2.173333,12.350377,
2.180000,9.750297,
2.186667,11.050337,
2.193333,12.350377,
2.200000,10.400317,
2.206667,11.050337,
2.213333,10.400317,
2.220000,11.050337,
2.226667,11.700357,
2.233333,11.050337,
2.240000,12.350377,
2.246667,13.650416,
2.253333,13.000396,
2.260000,11.050337,
2.266667,11.700357,
2.273333,11.050337,
2.280000,12.350377,
2.286667,14.300436,
2.293333,14.950456,
2.300000,14.300436,
2.306667,14.300436,
2.313333,15.600476,
2.320000,15.600476,
2.326667,15.600476,
2.333333,14.950456,
2.340000,15.600476,
2.346667,14.950456,
2.353333,15.600476,
2.360000,16.900515,
2.366667,16.900515,
2.373333,16.250495,
2.380000,15.600476,
2.386667,16.250495,
2.393333,16.250495,
2.400000,15.600476,
2.406667,16.250495,
2.413333,16.250495,
2.420000,17.550535,
2.426667,18.200555,
2.433333,18.200555,
2.440000,18.200555,
2.446667,18.850575,
2.453333,18.200555,
2.460000,18.200555,
2.466667,18.200555,
2.473333,18.850575,
2.480000,18.850575,
2.486667,16.250495,
2.493333,18.200555,
2.500000,18.200555,
2.506667,15.600476,
2.513333,16.900515,
2.520000,18.200555,
2.526667,17.550535,
2.533333,17.550535,
2.540000,18.850575,
2.546667,18.850575,
2.553333,18.200555,
2.560000,18.200555,
2.566667,18.200555,
2.573333,18.850575,
2.580000,18.200555,
2.586667,18.850575,
2.593333,18.850575,
2.600000,18.200555,
2.606667,18.200555,
2.613333,18.850575,
2.620000,18.850575,
2.626667,18.850575,
2.633333,20.150614,
2.640000,19.500595,
2.646667,19.500595,
2.653333,20.150614,
2.660000,19.500595,
2.666667,19.500595,
2.673333,20.150614,
2.680000,20.150614,
2.686667,19.500595,
2.693333,20.150614,
2.700000,20.150614,
2.706667,19.500595,
2.713333,20.150614,
2.720000,22.100674,
2.726667,21.450654,
2.733333,21.450654,
2.740000,22.100674,
2.746667,20.800634,
2.753333,20.150614,
2.760000,20.800634,
2.766667,21.450654,
2.773333,22.750694,
2.780000,22.100674,
2.786667,22.750694,
2.793333,22.750694,
2.800000,22.750694,
2.806667,22.750694,
2.813333,22.100674,
2.820000,21.450654,
2.826667,19.500595,
2.833333,19.500595,
2.840000,17.550535,
2.846667,18.200555,
2.853333,19.500595,
2.860000,20.800634,
2.866667,21.450654,
2.873333,20.800634,
2.880000,21.450654,
2.886667,21.450654,
2.893333,22.100674,
2.900000,22.750694,
