
Seconds, 126-1930
0.000000,5.909034,
0.006667,7.386292,
0.013333,8.863550,
0.020000,10.340809,
0.026667,7.386292,
0.033333,14.772584,
0.040000,14.772584,
0.046667,10.340809,
0.053333,13.295326,
0.060000,16.249843,
0.066667,20.681618,
0.073333,19.204359,
0.080000,17.727101,
0.086667,19.204359,
0.093333,28.067910,
0.100000,23.636135,
0.106667,20.681618,
0.113333,25.113393,
0.120000,25.113393,
0.126667,26.590651,
0.133333,32.499685,
0.140000,31.022427,
0.146667,33.976943,
0.153333,31.022427,
0.160000,33.976943,
0.166667,36.931460,
0.173333,36.931460,
0.180000,33.976943,
0.186667,36.931460,
0.193333,41.363235,
0.200000,45.795011,
0.206667,38.408719,
0.213333,44.317752,
0.220000,41.363235,
0.226667,45.795011,
0.233333,51.704044,
0.240000,45.795011,
0.246667,50.226786,
0.253333,51.704044,
0.260000,51.704044,
0.266667,50.226786,
0.273333,47.272269,
0.280000,51.704044,
0.286667,45.795011,
0.293333,53.181303,
0.300000,47.272269,
0.306667,54.658561,
0.313333,62.044853,
0.320000,57.613078,
0.326667,59.090336,
0.333333,53.181303,
0.340000,59.090336,
0.346667,63.522112,
0.353333,63.522112,
0.360000,66.476628,
0.366667,64.999370,
0.373333,62.044853,
0.380000,62.044853,
0.386667,59.090336,
0.393333,57.613078,
0.400000,57.613078,
0.406667,59.090336,
0.413333,63.522112,
0.420000,63.522112,
0.426667,63.522112,
0.433333,64.999370,
0.440000,66.476628,
0.446667,69.431145,
0.453333,69.431145,
0.460000,69.431145,
0.466667,70.908404,
0.473333,72.385662,
0.480000,73.862920,
0.486667,73.862920,
0.493333,75.340179,
0.500000,72.385662,
0.506667,70.908404,
0.513333,69.431145,
0.520000,73.862920,
0.526667,72.385662,
0.533333,75.340179,
0.540000,73.862920,
0.546667,75.340179,
0.553333,75.340179,
0.560000,70.908404,
0.566667,73.862920,
0.573333,69.431145,
0.580000,66.476628,
0.586667,75.340179,
0.593333,70.908404,
0.600000,67.953887,
0.606667,72.385662,
0.613333,67.953887,
0.620000,72.385662,
0.626667,72.385662,
0.633333,72.385662,
0.640000,73.862920,
0.646667,78.294696,
0.653333,75.340179,
0.660000,66.476628,
0.666667,73.862920,
0.673333,70.908404,
0.680000,73.862920,
0.686667,75.340179,
0.693333,76.817437,
0.700000,75.340179,
0.706667,78.294696,
0.713333,76.817437,
0.720000,76.817437,
0.726667,75.340179,
0.733333,75.340179,
0.740000,67.953887,
0.746667,79.771954,
0.753333,78.294696,
0.760000,78.294696,
0.766667,84.203729,
0.773333,82.726471,
0.780000,79.771954,
0.786667,79.771954,
0.793333,82.726471,
0.800000,82.726471,
0.806667,82.726471,
0.813333,82.726471,
0.820000,85.680988,
0.826667,84.203729,
0.833333,79.771954,
0.840000,84.203729,
0.846667,81.249213,
0.853333,78.294696,
0.860000,82.726471,
0.866667,82.726471,
0.873333,82.726471,
0.880000,84.203729,
0.886667,85.680988,
0.893333,85.680988,
0.900000,85.680988,
0.906667,87.158246,
0.913333,85.680988,
0.920000,84.203729,
0.926667,82.726471,
0.933333,82.726471,
0.940000,82.726471,
0.946667,84.203729,
0.953333,85.680988,
0.960000,85.680988,
0.966667,85.680988,
0.973333,84.203729,
0.980000,84.203729,
0.986667,82.726471,
0.993333,81.249213,
1.000000,84.203729,
1.006667,84.203729,
1.013333,87.158246,
1.020000,87.158246,
1.026667,82.726471,
1.033333,84.203729,
1.040000,84.203729,
1.046667,85.680988,
1.053333,85.680988,
1.060000,87.158246,
1.066667,85.680988,
1.073333,84.203729,
1.080000,84.203729,
1.086667,84.203729,
1.093333,84.203729,
1.100000,87.158246,
1.106667,82.726471,
1.113333,81.249213,
1.120000,76.817437,
1.126667,78.294696,
1.133333,79.771954,
1.140000,81.249213,
1.146667,79.771954,
1.153333,79.771954,
1.160000,81.249213,
1.166667,82.726471,
1.173333,82.726471,
1.180000,82.726471,
1.186667,82.726471,
1.193333,84.203729,
1.200000,82.726471,
1.206667,82.726471,
1.213333,82.726471,
1.220000,81.249213,
1.226667,79.771954,
1.233333,79.771954,
1.240000,82.726471,
1.246667,82.726471,
1.253333,81.249213,
1.260000,81.249213,
1.266667,82.726471,
1.273333,82.726471,
1.280000,84.203729,
1.286667,82.726471,
1.293333,79.771954,
1.300000,79.771954,
1.306667,81.249213,
1.313333,82.726471,
1.320000,82.726471,
1.326667,82.726471,
1.333333,82.726471,
1.340000,81.249213,
1.346667,81.249213,
1.353333,81.249213,
1.360000,82.726471,
1.366667,82.726471,
1.373333,82.726471,
1.380000,82.726471,
1.386667,81.249213,
1.393333,82.726471,
1.400000,82.726471,
1.406667,82.726471,
1.413333,82.726471,
1.420000,81.249213,
1.426667,85.680988,
1.433333,84.203729,
1.440000,84.203729,
1.446667,85.680988,
1.453333,84.203729,
1.460000,85.680988,
1.466667,85.680988,
1.473333,87.158246,
1.480000,88.635505,
1.486667,90.112763,
1.493333,87.158246,
1.500000,87.158246,
1.506667,88.635505,
1.513333,90.112763,
1.520000,91.590021,
1.526667,91.590021,
1.533333,91.590021,
1.540000,90.112763,
1.546667,91.590021,
1.553333,90.112763,
1.560000,90.112763,
1.566667,88.635505,
1.573333,88.635505,
1.580000,87.158246,
1.586667,91.590021,
1.593333,90.112763,
1.600000,90.112763,
1.606667,88.635505,
1.613333,85.680988,
1.620000,88.635505,
1.626667,87.158246,
1.633333,87.158246,
1.640000,88.635505,
1.646667,85.680988,
1.653333,90.112763,
1.660000,87.158246,
1.666667,87.158246,
1.673333,88.635505,
1.680000,90.112763,
1.686667,84.203729,
1.693333,84.203729,
1.700000,81.249213,
1.706667,84.203729,
1.713333,84.203729,
1.720000,84.203729,
1.726667,84.203729,
1.733333,84.203729,
1.740000,84.203729,
1.746667,84.203729,
1.753333,84.203729,
1.760000,85.680988,
1.766667,84.203729,
1.773333,84.203729,
1.780000,84.203729,
1.786667,84.203729,
1.793333,85.680988,
1.800000,85.680988,
1.806667,87.158246,
1.813333,87.158246,
1.820000,85.680988,
1.826667,87.158246,
1.833333,87.158246,
1.840000,87.158246,
1.846667,87.158246,
1.853333,87.158246,
1.860000,85.680988,
1.866667,85.680988,
1.873333,85.680988,
1.880000,84.203729,
1.886667,85.680988,
1.893333,84.203729,
1.900000,84.203729,
1.906667,84.203729,
1.913333,84.203729,
1.920000,84.203729,
1.926667,84.203729,
1.933333,82.726471,
1.940000,81.249213,
1.946667,81.249213,
1.953333,82.726471,
1.960000,81.249213,
1.966667,82.726471,
1.973333,84.203729,
1.980000,84.203729,
1.986667,84.203729,
1.993333,84.203729,
2.000000,85.680988,
2.006667,82.726471,
2.013333,81.249213,
2.020000,84.203729,
2.026667,84.203729,
2.033333,84.203729,
2.040000,85.680988,
2.046667,87.158246,
2.053333,85.680988,
2.060000,87.158246,
2.066667,87.158246,
2.073333,87.158246,
2.080000,87.158246,
2.086667,87.158246,
2.093333,85.680988,
2.100000,87.158246,
2.106667,87.158246,
2.113333,88.635505,
2.120000,87.158246,
2.126667,87.158246,
2.133333,85.680988,
2.140000,85.680988,
2.146667,87.158246,
2.153333,85.680988,
2.160000,85.680988,
2.166667,85.680988,
2.173333,85.680988,
2.180000,85.680988,
2.186667,85.680988,
2.193333,85.680988,
2.200000,84.203729,
2.206667,84.203729,
2.213333,85.680988,
2.220000,82.726471,
2.226667,79.771954,
2.233333,79.771954,
2.240000,78.294696,
2.246667,76.817437,
2.253333,73.862920,
2.260000,72.385662,
2.266667,73.862920,
2.273333,72.385662,
2.280000,70.908404,
2.286667,75.340179,
2.293333,75.340179,
2.300000,70.908404,
2.306667,72.385662,
2.313333,70.908404,
2.320000,72.385662,
2.326667,73.862920,
2.333333,76.817437,
2.340000,70.908404,
2.346667,69.431145,
2.353333,69.431145,
2.360000,72.385662,
2.366667,73.862920,
2.373333,70.908404,
2.380000,66.476628,
2.386667,64.999370,
2.393333,64.999370,
2.400000,64.999370,
2.406667,62.044853,
2.413333,59.090336,
2.420000,59.090336,
2.426667,56.135820,
2.433333,57.613078,
2.440000,64.999370,
2.446667,57.613078,
2.453333,57.613078,
2.460000,56.135820,
2.466667,57.613078,
2.473333,57.613078,
2.480000,59.090336,
2.486667,56.135820,
2.493333,60.567595,
2.500000,62.044853,
2.506667,62.044853,
2.513333,63.522112,
2.520000,56.135820,
2.526667,64.999370,
2.533333,69.431145,
2.540000,72.385662,
2.546667,70.908404,
2.553333,67.953887,
2.560000,72.385662,
2.566667,70.908404,
2.573333,60.567595,
2.580000,57.613078,
2.586667,60.567595,
2.593333,63.522112,
2.600000,54.658561,
2.606667,51.704044,
2.613333,54.658561,
2.620000,57.613078,
2.626667,60.567595,
2.633333,53.181303,
2.640000,57.613078,
2.646667,56.135820,
2.653333,57.613078,
2.660000,54.658561,
2.666667,59.090336,
2.673333,57.613078,
2.680000,53.181303,
2.686667,51.704044,
2.693333,51.704044,
2.700000,50.226786,
2.706667,38.408719,
2.713333,36.931460,
2.720000,33.976943,
2.726667,33.976943,
2.733333,35.454202,
2.740000,29.545168,
2.746667,32.499685,
2.753333,29.545168,
2.760000,32.499685,
2.766667,28.067910,
2.773333,22.158876,
2.780000,31.022427,
2.786667,22.158876,
2.793333,28.067910,
2.800000,28.067910,
2.806667,28.067910,
2.813333,25.113393,
2.820000,20.681618,
2.826667,23.636135,
2.833333,26.590651,
2.840000,25.113393,
2.846667,23.636135,
2.853333,22.158876,
2.860000,20.681618,
2.866667,22.158876,
2.873333,20.681618,
2.880000,19.204359,
2.886667,20.681618,
2.893333,17.727101,
2.900000,16.249843,
2.906667,17.727101,
2.913333,14.772584,
2.920000,20.681618,
2.926667,17.727101,
2.933333,14.772584,
2.940000,14.772584,
2.946667,13.295326,
2.953333,11.818067,
2.960000,7.386292,
2.966667,2.954517,
2.973333,5.909034,
2.980000,2.954517,
2.986667,2.954517,
2.993333,4.431775,
3.000000,1.477258,
3.006667,5.909034,
3.013333,4.431775,
3.020000,1.477258,
3.026667,2.954517,
3.033333,2.954517,
3.040000,0.000000,
3.046667,1.477258,
3.053333,0.000000,
3.060000,1.477258,
3.066667,1.477258,
3.073333,1.477258,
3.080000,0.000000,
3.086667,1.477258,
3.093333,1.477258,
3.100000,1.477258,
3.106667,1.477258,
3.113333,0.000000,
3.120000,1.477258,
3.126667,1.477258,
3.133333,1.477258,
3.140000,2.954517,
3.146667,4.431775,
3.153333,1.477258,
3.160000,2.954517,
3.166667,1.477258,
3.173333,0.000000,
3.180000,1.477258,
3.186667,2.954517,
3.193333,1.477258,
3.200000,1.477258,
3.206667,2.954517,
3.213333,2.954517,
3.220000,1.477258,
3.226667,1.477258,
3.233333,1.477258,
3.240000,1.477258,
3.246667,0.000000,
3.253333,0.000000,
3.260000,1.477258,
3.266667,1.477258,
3.273333,1.477258,
3.280000,1.477258,
3.286667,1.477258,
3.293333,1.477258,
3.300000,1.477258,
3.306667,1.477258,
3.313333,2.954517,
3.320000,1.477258,
3.326667,1.477258,
3.333333,1.477258,
3.340000,1.477258,
3.346667,1.477258,
3.353333,1.477258,
3.360000,1.477258,
3.366667,1.477258,
3.373333,0.000000,
3.380000,0.000000,
3.386667,0.000000,
3.393333,0.000000,
3.400000,0.000000,
3.406667,0.000000,
3.413333,0.000000,
3.420000,0.000000,
3.426667,0.000000,
3.433333,0.000000,
3.440000,0.000000,
3.446667,0.000000,
3.453333,0.000000,
3.460000,0.000000,
3.466667,0.000000,
3.473333,0.000000,
3.480000,0.000000,
3.486667,0.000000,
3.493333,0.000000,
3.500000,0.000000,
3.506667,0.000000,
3.513333,0.000000,
3.520000,0.000000,
3.526667,0.000000,
3.533333,0.000000,
3.540000,0.000000,
3.546667,0.000000,
3.553333,0.000000,
3.560000,0.000000,
3.566667,0.000000,
3.573333,0.000000,
3.580000,0.000000,
3.586667,0.000000,
3.593333,0.000000,
3.600000,0.000000,
3.606667,0.000000,
3.613333,0.000000,
3.620000,0.000000,
3.626667,0.000000,
3.633333,0.000000,
3.640000,0.000000,
3.646667,0.000000,
3.653333,0.000000,
3.660000,0.000000,
3.666667,0.000000,
3.673333,0.000000,
3.680000,0.000000,
3.686667,0.000000,
3.693333,0.000000,
3.700000,0.000000,
3.706667,0.000000,
3.713333,0.000000,
3.720000,0.000000,
3.726667,0.000000,
3.733333,1.477258,
3.740000,0.000000,
3.746667,1.477258,
3.753333,0.000000,
3.760000,0.000000,
