Unit: grams
Seconds, L6
0.000000,1.782606,
0.006667,1.782606,
0.013333,1.782606,
0.020000,3.565212,
0.026667,4.456515,
0.033333,6.239121,
0.040000,7.130424,
0.046667,8.021727,
0.053333,8.021727,
0.060000,8.021727,
0.066667,9.804333,
0.073333,8.913030,
0.080000,8.913030,
0.086667,8.913030,
0.093333,8.021727,
0.100000,8.021727,
0.106667,8.913030,
0.113333,8.913030,
0.120000,8.913030,
0.126667,8.913030,
0.133333,8.913030,
0.140000,9.804333,
0.146667,10.695636,
0.153333,11.586939,
0.160000,11.586939,
0.166667,12.478242,
0.173333,11.586939,
0.180000,12.478242,
0.186667,12.478242,
0.193333,13.369545,
0.200000,13.369545,
0.206667,12.478242,
0.213333,12.478242,
0.220000,13.369545,
0.226667,14.260848,
0.233333,13.369545,
0.240000,12.478242,
0.246667,13.369545,
0.253333,13.369545,
0.260000,14.260848,
0.266667,13.369545,
0.273333,14.260848,
0.280000,15.152151,
0.286667,16.043454,
0.293333,16.043454,
0.300000,15.152151,
0.306667,15.152151,
0.313333,15.152151,
0.320000,16.043454,
0.326667,15.152151,
0.333333,15.152151,
0.340000,15.152151,
0.346667,15.152151,
0.353333,14.260848,
0.360000,15.152151,
0.366667,15.152151,
0.373333,15.152151,
0.380000,15.152151,
0.386667,14.260848,
0.393333,12.478242,
0.400000,12.478242,
0.406667,13.369545,
0.413333,13.369545,
0.420000,14.260848,
0.426667,14.260848,
0.433333,14.260848,
0.440000,13.369545,
0.446667,14.260848,
0.453333,15.152151,
0.460000,14.260848,
0.466667,15.152151,
0.473333,14.260848,
0.480000,14.260848,
0.486667,12.478242,
0.493333,14.260848,
0.500000,16.043454,
0.506667,14.260848,
0.513333,14.260848,
0.520000,13.369545,
0.526667,14.260848,
0.533333,14.260848,
0.540000,14.260848,
0.546667,14.260848,
0.553333,15.152151,
0.560000,15.152151,
0.566667,15.152151,
0.573333,14.260848,
0.580000,14.260848,
0.586667,15.152151,
0.593333,15.152151,
0.600000,14.260848,
0.606667,13.369545,
0.613333,14.260848,
0.620000,15.152151,
0.626667,15.152151,
0.633333,14.260848,
0.640000,14.260848,
0.646667,14.260848,
0.653333,14.260848,
0.660000,14.260848,
0.666667,13.369545,
0.673333,12.478242,
0.680000,14.260848,
0.686667,13.369545,
0.693333,11.586939,
0.700000,11.586939,
0.706667,13.369545,
0.713333,14.260848,
0.720000,16.934757,
0.726667,16.043454,
0.733333,16.043454,
0.740000,15.152151,
0.746667,13.369545,
0.753333,16.934757,
0.760000,17.826060,
0.766667,15.152151,
0.773333,15.152151,
0.780000,14.260848,
0.786667,14.260848,
0.793333,14.260848,
0.800000,12.478242,
0.806667,12.478242,
0.813333,13.369545,
0.820000,14.260848,
0.826667,15.152151,
0.833333,14.260848,
0.840000,12.478242,
0.846667,14.260848,
0.853333,14.260848,
0.860000,15.152151,
0.866667,14.260848,
0.873333,14.260848,
0.880000,16.043454,
0.886667,16.043454,
0.893333,16.043454,
0.900000,16.043454,
0.906667,15.152151,
0.913333,13.369545,
0.920000,14.260848,
0.926667,14.260848,
0.933333,15.152151,
0.940000,15.152151,
0.946667,14.260848,
0.953333,14.260848,
0.960000,12.478242,
0.966667,16.934757,
0.973333,12.478242,
0.980000,16.043454,
0.986667,14.260848,
0.993333,13.369545,
1.000000,12.478242,
1.006667,14.260848,
1.013333,15.152151,
1.020000,15.152151,
1.026667,16.043454,
1.033333,16.934757,
1.040000,17.826060,
1.046667,16.934757,
1.053333,16.043454,
1.060000,17.826060,
1.066667,15.152151,
1.073333,16.934757,
1.080000,15.152151,
1.086667,15.152151,
1.093333,15.152151,
1.100000,16.043454,
1.106667,16.934757,
1.113333,16.043454,
1.120000,16.043454,
1.126667,16.934757,
1.133333,17.826060,
1.140000,17.826060,
1.146667,19.608666,
1.153333,19.608666,
1.160000,20.499969,
1.166667,20.499969,
1.173333,20.499969,
1.180000,20.499969,
1.186667,20.499969,
1.193333,21.391272,
1.200000,20.499969,
1.206667,20.499969,
1.213333,19.608666,
1.220000,20.499969,
1.226667,19.608666,
1.233333,20.499969,
1.240000,19.608666,
1.246667,20.499969,
1.253333,20.499969,
1.260000,20.499969,
1.266667,21.391272,
1.273333,21.391272,
1.280000,21.391272,
1.286667,21.391272,
1.293333,22.282575,
1.300000,23.173878,
1.306667,23.173878,
1.313333,24.065181,
1.320000,24.065181,
1.326667,24.065181,
1.333333,23.173878,
1.340000,23.173878,
1.346667,23.173878,
1.353333,23.173878,
1.360000,23.173878,
1.366667,23.173878,
1.373333,23.173878,
1.380000,24.065181,
1.386667,25.847787,
1.393333,24.956484,
1.400000,24.065181,
1.406667,24.065181,
1.413333,24.065181,
1.420000,24.956484,
1.426667,24.065181,
1.433333,24.956484,
1.440000,24.065181,
1.446667,24.065181,
1.453333,24.956484,
1.460000,25.847787,
1.466667,25.847787,
1.473333,26.739090,
1.480000,25.847787,
1.486667,25.847787,
1.493333,24.956484,
1.500000,24.065181,
1.506667,23.173878,
1.513333,25.847787,
1.520000,24.956484,
1.526667,25.847787,
1.533333,25.847787,
1.540000,24.065181,
1.546667,24.065181,
1.553333,25.847787,
1.560000,23.173878,
1.566667,22.282575,
1.573333,22.282575,
1.580000,20.499969,
1.586667,20.499969,
1.593333,21.391272,
1.600000,24.956484,
1.606667,22.282575,
1.613333,24.956484,
1.620000,20.499969,
1.626667,17.826060,
1.633333,21.391272,
1.640000,23.173878,
1.646667,21.391272,
1.653333,21.391272,
1.660000,22.282575,
1.666667,21.391272,
1.673333,21.391272,
1.680000,21.391272,
1.686667,22.282575,
1.693333,22.282575,
1.700000,23.173878,
1.706667,22.282575,
1.713333,22.282575,
1.720000,22.282575,
1.726667,21.391272,
1.733333,21.391272,
1.740000,20.499969,
1.746667,21.391272,
1.753333,22.282575,
1.760000,21.391272,
1.766667,21.391272,
1.773333,21.391272,
1.780000,19.608666,
1.786667,19.608666,
1.793333,18.717363,
1.800000,20.499969,
1.806667,19.608666,
1.813333,21.391272,
1.820000,22.282575,
